stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
Fiat	1.n. 命令；许可；政法 2.vt. 批准；颁布 3.n. (Fiat)人名；(西)菲亚特 4.n. 菲亚特（意大利汽车品牌） 
underperforming	1.vt. （股票等）运作差于（一般市场价格） 2.vi. 表现不佳；工作不如预期（或同行） 
pessimistic	1.adj. 悲观的，厌世的；悲观主义的 
Did	1.v. 做（do的过去式） 
Fiction	1.n. 小说；虚构，编造；谎言 
rings	1.n. 吊环（ring的复数） 2.n. (Rings)人名；(德)林斯 
provocative	1.n. 刺激物，挑拨物；兴奋剂 2.adj. 刺激的，挑拨的；气人的 
nonsense	1.n. 胡说；废话 2.adj. 荒谬的 3.int. 胡说！ 
Rules	1.n. [数] 规则；条例（rule的复数形式） 2.v. 统治；支配；裁定（rule的第三人称单数形式） 
exhaust	1.n. 排气；废气；排气装置 2.vt. 排出；耗尽；使精疲力尽；彻底探讨 3.vi. 排气 
indicated	1.v. 表明（indicate的过去分词）；指出；显示 2.adj. 表明的；指示的 
hypocrisy	1.n. 虚伪；伪善 
Finns	1.n. 芬兰人（Finn的复数形式） 
sinking	1.n. 沉没 2.v. 下沉（sink的现在分词） 3.adj. 下沉的 
Bouteflika	
Munk	1.n. (Munk)人名；(英)芒克；(德、丹、匈、捷、塞、瑞典)蒙克 
laser	1.n. 激光 2.n. (Laser)人名；(德)拉泽 
MEPs	1.abbr. 最低能效标准（Minimum Energy Performance Standards）；海洋生态进程（Marine Ecology Progress Series） 
Faisal	1.n. 费萨尔（沙特阿拉伯国王） 
respite	1.n. 缓解；暂缓；暂时的休息；缓期执行 2.vt. 使缓解；使暂缓；使延期；缓期执行 
securitisation	1.n. 证券化 
fibre	1.n. 纤维；纤维制品 
Yanis	1.n. (Yanis)人名；(俄)亚尼斯 
Express	1.n. 快车，快递，专使；捷运公司 2.vt. 表达；快递 3.adj. 明确的；迅速的；专门的 
waged	1.v. 进行；开始（wage的过去分词） 2.adj. 有职业的；有工作的；支付工资的 
unequal	1.n. 不等同的事物 2.adj. 不平等的；不规则的；不胜任的 
universally	1.adv. 普遍地；人人；到处 
heal	1.vt. 治愈，痊愈；和解 2.vi. 痊愈 3.n. (Heal)人名；(英)希尔 
mired	1.v. 使…陷于泥泞，使…陷入困境（mire的过去式） 
royalties	1.n. 版税；稿酬（royalty的复数形式） 
sophistication	1.n. 复杂；诡辩；老于世故；有教养 
Farmers	1.n. [农] 农民（farmer的复数） 
evade	1.vt. 逃避；规避；逃脱 2.vi. 逃避；规避；逃脱 
nominee	1.n. 被任命者；被提名的人；代名人 
withstand	1.vt. 抵挡；禁得起；反抗 2.vi. 反抗 
diversification	1.n. 多样化；变化 
Yorkers	1.n. （板球）击球棒下面通过的球 
bewildering	1.adj. 使人困惑的；令人产生混乱的 2.v. 使迷惑（bewilder的ing形式） 
credit-rating	1.信用评级 
downgraded	1.v. 信用等级下降（downgrade的过去式） 2.adj. 降级的；受鄙视的 
Youth	1.n. 青年；青春；年轻；青少年时期 
devaluation	1.n. 货币贬值 
biotech	1.abbr. 生物技术；生物科技（biotechnology） 
motive	1.n. 动机，目的；主题 2.adj. 发动的；成为动机的 3.vt. 使产生动机，激起 
embroiled	1.adj. 卷入的；纠缠不清的 2.v. 卷入（embroil的过去式和过去分词）；牵连 
newish	1.adj. 尚新的；稍微新的 
manufacture	1.n. 制造；产品；制造业 2.vt. 制造；加工；捏造 3.vi. 制造 
exhausted	1.v. 耗尽；用尽；使…精疲力尽（exhaust的过去式） 2.adj. 疲惫的；耗尽的 
afloat	1.adj. 在海上的；飘浮的；浸满水的；在传播的 2.adv. 在海上；飘浮著；浸满水 
disadvantage	1.n. 缺点；不利条件；损失 
honesty	1.n. 诚实，正直 
cautiously	1.adv. 慎重地，谨慎地 
vegetables	1.n. [园艺] 蔬菜（vegetable的复数形式）；菜类 
dotted	1.v. 点缀（dot的过去分词）；布满；打点于 2.adj. 星罗棋布的；有点的 
chefs	
objected	1.n. 目标；物体；客体；宾语 2.vt. 提出…作为反对的理由 3.vi. 反对；拒绝 
growers	1.雏 
wealthier	1.富有的（wealthy的比较级） 
Pablo	1.n. 帕布鲁棕色 
auctions	1.n. [贸易] 拍卖（auction的复数） 2.v. [贸易] 拍卖（auction的三单形式） 
Yemeni	1.n. 也门人 2.adj. 也门的；也门人的 
purely	1.adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地 
voluntary	1.n. 志愿者；自愿行动 2.adj. 自愿的；志愿的；自发的；故意的 
denial	1.n. 否认；拒绝；节制；背弃 
deterrent	1.n. 威慑；妨碍物；挽留的事物 2.adj. 遏制的，威慑的；制止的 
much-needed	
Sinai	1.n. 西奈 
advertise	1.vt. 通知；为…做广告；使突出 2.vi. 做广告，登广告；作宣传 
rosy	1.adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的 2.n. (Rosy)人名；(罗、意、瑞、典)罗茜(女名)，罗西；(英)罗茜 
battled	1.有雉堞的；有城垛的 
tainted	1.adj. 污染的；感染的 
orderly	1.n. 勤务兵；传令兵；护理员 2.adj. 有秩序的；整齐的；值班的 3.adv. 顺序地；依次地 
renegotiate	1.vt. 重新谈判；重新协商 2.vi. 重新谈判 
conciliatory	1.adj. 安抚的；调和的；调停的 
blanket	1.n. 毛毯，毯子；毯状物，覆盖层 2.adj. 总括的，全体的；没有限制的 3.vt. 覆盖，掩盖；用毯覆盖 
farewell	1.n. 告别，辞别；再见；再会 2.adj. 告别的 3.int. 别了！（常含有永别或不容易再见面的意思）；再会！ 
handy	1.adj. 便利的；手边的，就近的；容易取得的；敏捷的 2.n. (Handy)人名；(英)汉迪 
eve	1.n. 夏娃； 前夕；傍晚；重大事件关头 
trailing	1.n. 拖尾；泥浆彩饰 2.v. 尾随（trail的ing形式） 3.adj. 后面的；拖尾的；牵引的；被拖动的；蔓延的 
privileges	1.n. [计] 特权（privilege的复数） 2.v. 给与…特权（privilege的第三人称单数形式） 
prescriptions	1.n. 医药处方，[医] 药方（prescription复数形式） 
historically	1.adv. 历史上地；从历史观点上说 
differing	1.vt. 使…相异；使…不同 2.vi. 相异；意见分歧 3.n. (Differ)人名；(法)迪费 
poaching	1.n. 非法狩猎；物色人才；漂洗；低温煮 2.v. 把…踏成泥浆；非法猎取；漂洗；窃取（poach的ing形式） 
Executive	1.n. 总经理；执行委员会；执行者；经理主管人员 2.adj. 行政的；经营的；执行的，经营管理的 
Sanford	1.n. 桑福德（男子名） 
upside	1.n. 上部；上面；上边 
ladder	1.n. 阶梯；途径；梯状物 2.vt. 在……上装设梯子 3.vi. 成名；发迹 
alumni	1.n. 男校友；男毕业生（alumnus的复数） 
Ethnic	1.adj. 种族的；人种的 
prevailed	1.流行（ prevail的过去式和过去分词 ） 2.获胜（ prevail的过去式和过去分词 ） 
acquiring	1.n. 捕获，探测；习得；瞄准 2.v. 获得（acquire的ing形式） 
postpone	1.vt. 使…延期；把…放在次要地位；把…放在后面 2.vi. 延缓，延迟；延缓发作 
Fred	1.abbr. 快速随机询问显示（Fast Random Enquiry Display） 
launches	1.n. 汽艇（launch的复数） 2.v. [航] 发射；下水；投入（launch的单三形式） 
lags	1.n. 延迟支付进口货款；落后时间（lag的复数形式） 2.v. 落后于（lag的第三人称单数形式） 
payouts	1.n. 支出（payout的复数形式）；付款；花费 
tweaked	1.n. 扭；拧；焦急 2.vt. 扭；用力拉；开足马力 
wearable	1.n. 衣服 2.adj. 可穿用的，可佩带的；耐用的 
sponsor	1.n. 赞助者；主办者；保证人 2.vt. 赞助；发起 
Cash	1.n. 现款，现金 2.vt. 将…兑现；支付现款 3.n. (Cash)人名；(英)卡什 
cheating	1.n. 行骗，欺骗行为 2.adj. 欺骗的 
execute	1.vt. 实行；执行；处死 
feat	1.n. 功绩，壮举；技艺表演 2.adj. 合适的；灵巧的 
cracking	1.n. 破裂；分馏 2.v. 破裂；打开；变声（crack的ing形式） 3.adj. 重大的；敏捷的；出色的 4.adv. 非常；极其 
Guangzhou	1.n. 广州（广东省省会） 
repairing	1.v. 修复（repair的ing形式）；修理 
parallels	1.n. 平行线；平行状态；匹敌者（parallel的复数形式） 2.v. 使…成平行；与…相应（parallel的第三人称单数） 
appreciation	1.n. 欣赏，鉴别；增值；感谢 
indicate	1.vt. 表明；指出；预示；象征 
estates	1.n. 房地产，[经] 财产（estate的复数）；不动产 2.v. 赠（estate的三单形式）；使有地产 
dies	1.n. [机] 模具（名词die的复数）；（拉）日 2.v. 死亡；消失（动词die的第三人称单数形式）；凋谢 3.n. (Dies)人名；(英)戴斯；(西)迭斯 
lonely	1.n. 孤独者 2.adj. 寂寞的；偏僻的 
Yorkshire	1.n. 约克郡（英格兰东北的一郡） 
exposing	1.n. 遗弃；露体；陈列 2.v. 揭露；展览；遭遇（expose的ing形式） 
bishop	1.n. 主教 2.象 
veil	1.n. 面纱；面罩；遮蔽物；托词 2.vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔 3.vi. 蒙上面纱；出现轻度灰雾 4.n. (Veil)人名；(法)韦伊；(德)法伊尔 
disappearance	1.n. 消失；不见 
complacency	1.n. 自满；满足；自鸣得意 
occupy	1.vt. 占据，占领；居住；使忙碌 
crave	1.vi. 渴望；恳求 2.vt. 渴望；恳求 3.n. (Crave)人名；(法)克拉夫 
cite	1.vt. 引用；传讯；想起；表彰 
greying	1.adj. 石墨化的；发灰色的 
riders	1.骑手 2.附文 3.扶手（rider的复数） 
incompetent	1.n. 无能力者 2.adj. 无能力的，不胜任的；不合适的；不适当的；无力的 
libertarian	1.n. 自由意志主义者；行动自由论者 2.adj. 自由的；自由论者的；持自由论的 
buoyed	1.[水运] 浮标 
appalling	1.adj. 可怕的；令人震惊的 2.v. 使惊愕；惊吓（appal的ing形式） 
ratified	1.adj. 批准的 2.vt. 批准（ratify的过去式） 
forgiven	1.vt. 原谅（forgive的过去分词） 
specially	1.adv. 特别地；专门地 
spied	1.v. 侦探，找出（spy的过去式） 
setbacks	1.n. 挫折；周折（setback复数） 
Bible	1.n. 有权威的书 
consists	1.v. 由…构成；由…组成（consist的三单形式） 
inspection	1.n. 视察，检查 
practise	1.vi. 练习，实践；实施，实行；从事 2.vt. 练习，实践；实施，实行 
mildly	1.adv. 温和地，和善地；适度地 
energetic	1.adj. 精力充沛的；积极的；有力的 
disliked	1.vt. 不喜欢，厌恶 2.n. 嫌恶，反感，不喜爱 
throne	1.n. 王座；君主；王权 2.vt. 使登王位 3.vi. 登上王座 4.n. (Throne)人名；(瑞典)特罗内；(英)特罗恩 
self-interest	1.n. 私利；利己主义 
rash	1.n. [皮肤] 皮疹；突然大量出现的事物 2.adj. 轻率的；鲁莽的；不顾后果的 3.n. (Rash)人名；(英、以、阿拉伯)拉什 
lax	1.n. 松元音；泻肚 2.adj. 松的；松懈的；腹泻的 3.n. (Lax)人名；(英、法、德、意、芬、匈、瑞典)拉克斯 
rebuilt	1.n. 重建 2.v. 重新组装（rebuild的过去式和过去分词） 
decentralisation	1.n. 地方分权；疏散（等于decentralization） 
antibodies	1.n. [免疫] 抗体（antibody的复数） 
radically	1.adv. 根本上；彻底地；以激进的方式 
squeezing	1.n. 压榨；推挤；挤出酌；轧水 2.v. 挤压；握住；硬塞进；紧抱；敲诈（squeeze的ing形式） 3.adj. 挤压的；压榨的 
guru	1.n. 古鲁（指印度教等宗教的宗师或领袖）；领袖；专家 2.n. (Guru)人名；(印)古鲁 
rethink	1.n. 重新考虑；反思；新想法 2.vt. 重新考虑；再想 3.vi. 重新考虑；再想 
stones	1.n. 石子（stone的复数）；小石头 2.v. 向…扔石子；用石块铺（stone的三单形式） 3.n. (Stones)人名；(英)斯通斯 
singer	1.n. 歌手，歌唱家 2.n. (Singer)人名；(英、德、瑞典、塞、罗、捷、葡、土)辛格；(法)桑热 
illustrates	1.v. 阐明；举例说明（illustrate的三单形式）；给…加插图 
Planet	1.n. 行星 2.n. (Planet)人名；(法)普拉内；(西、葡)普拉内特 
Fortunately	1.adv. 幸运地 
halfway	1.adj. 中途的；不彻底的 2.adv. 到一半；在中途 
galaxies	1.n. [天] 星系；银河系（galaxy的复数） 
adapted	1.v. 使适应，改编（adapt的过去式） 2.adj. 适合的 
Bang	1.n. 刘海；重击；突然巨响 2.vt. 重击；发巨响 3.adv. 直接地；砰然地；突然巨响地 4.n. (Bang)人名；(英、乍)班；(芬、德、丹)邦 
sciences	1.n. 科学（science的复数） 
soup	1.n. 汤，羹；马力 2.vt. 加速；增加马力 
operational	1.adj. 操作的；运作的 
flourished	1.n. 兴旺；茂盛；挥舞；炫耀；华饰 2.vt. 夸耀；挥舞 3.vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期 
restrained	1.v. 抑制；约束（restrain的过去分词） 2.adj. 克制的，受限制的；拘谨的 
Murphy	1.n. 马铃薯，土豆 2.n. (Murphy)人名；(英、葡、瑞典)墨菲 
damning	1.adj. 咒骂的；毁灭的；受永罚的 2.n. 诅咒 3.v. 咒骂（damn的ing形式） 
gases	1.n. 气体 2.煤气 3.毒气 4.用毒气杀死 5.汽油 
Yahoo	1.n. 粗鲁的人 
springs	1.n. 斯普林斯（南非东部城市名） 
Bogotá	
devout	1.adj. 虔诚的；衷心的 
wield	1.vt. 使用；行使；挥舞 
collectors	1.n. 收藏家；收集者；聚集剂；[电子] 集电极（collector的复数） 
inability	1.n. 无能力；无才能 
revelation	1.n. 启示；揭露；出乎意料的事；被揭露的真相 
overshadowed	1.vt. 使失色；使阴暗；遮阴；夺去…的光彩 
divert	1.vt. 转移；使…欢娱；使…转向 2.vi. 转移 3.n. (Divert)人名；(法)迪韦尔 
Kuroda	1.n. 日本黑田精工 
submarines	1.n. 潜艇；潜水艇（submarine的复数） 
liberalising	1.使自由化 
co-operating	1.v. 合作；协作（co-operate的ing形式） 
handsome	1.adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的 
emphasises	1.vt. （英）强调；加强…的语气（等于emphasize ） 
polluters	1.n. 污染者；污染源；污染物质 
retains	1.保持 
nationality	1.n. 国籍，国家；民族；部落 
defy	1.n. 挑战；对抗 2.vt. 藐视；公然反抗；挑衅；使落空 
rogue	1.n. 流氓；小淘气；凶猛的离群兽；（尤指植物的）劣种 2.adj. （野兽）凶猛的 3.vt. 欺诈；去劣 4.vi. 游手好闲；去劣；流浪 5.n. (Rogue)人名；(法)罗格 
Gulenists	
emphasise	1.vt. （英）强调；加强…的语气（等于emphasize ） 
alert	1.n. 警戒，警惕；警报 2.adj. 警惕的，警觉的；留心的 3.vt. 警告；使警觉，使意识到 4.n. (Alert)人名；(西)阿莱尔特 
fitness	1.n. 健康；适当；适合性 
expectation	1.n. 期待；预期；指望 
sequence	1.n. [数][计] 序列；顺序；续发事件 2.vt. 按顺序排好 
parity	1.n. 平价；同等；相等 
Strait	1.n. 海峡；困境 2.adj. 狭窄的；苦恼的 3.n. (Strait)人名；(英)斯特雷特 
haze	1.n. 阴霾；薄雾；疑惑 2.vt. 使变朦胧；使变糊涂 3.vi. 变朦胧；变糊涂 4.n. (Haze)人名；(法)阿泽 
closure	1.n. 关闭；终止，结束 2.vt. 使终止 
subprime	1.adj. 次级的；准最低贷款利率的 
Merck	1.n. 默克公司（财富500强公司之一，部所在地美国，主要经营制药） 
firepower	1.n. 火力 
outpost	1.n. 前哨；警戒部队；边区村落 
Ricardo	1.n. 里卡多（姓氏） 
jazz	1.n. 爵士乐，爵士舞；喧闹 2.vi. 奏爵士乐，跳爵士舞；游荡 3.vt. 奏爵士乐；使活泼 4.adj. 爵士乐的；喧吵的 5.n. (Jazz)人名；(德)雅茨 
cousins	1.n. 卡曾斯（姓） 
connecting	1.n. 连接；管接头，套管 2.v. 连接（connect的ing形式） 3.adj. [计] 连接的 
barring	1.prep. 除非；不包括；除…以外 2.v. 阻拦（bar的ing形式） 3.n. (Barring)人名；(德)巴林 
loosening	1.n. 松散，放松 2.v. 使…松开（loosen的ing形式） 
reshape	1.vt. 改造；再成形 
pin	1.n. 大头针，别针，针；栓；琐碎物 2.vt. 钉住；压住；将……用针别住 
fretted	1.adj. 焦躁的；腐蚀的；附有弦马的 2.v. 烦躁；侵蚀；耗损（fret的过去分词） 
drain	1.n. 排水；下水道，排水管；消耗 2.vt. 喝光，耗尽；使流出；排掉水 3.vi. 排水；流干 4.n. (Drain)人名；(英)德雷恩；(法)德兰 
proposing	1.v. 提议（propose的现在分词）；求婚 
militarily	1.adv. 在军事上；从军事角度；以武力；以军事行动 
broaden	1.vt. 使扩大；使变宽 2.vi. 扩大，变阔；变宽，加宽 
celebrations	1.n. 庆典，庆祝会；庆祝；颂扬 
cracked	1.v. 破裂；崩溃（crack的过去分词）；发沙哑声；失败 2.adj. 破裂的；声音嘶哑的；精神失常的 
tweet	1.n. 小鸟叫声；自录音再现装置发出的高音；推特 2.vi. 吱吱地叫；啾鸣 
casts	1.n. 演员阵容；[生理] 管型（cast的复数） 2.v. 投（cast的三单形式） 
touted	1.v. 招来顾客（tout过去式） 2.adj. 被吹捧的 
highs	1.adj. 高的；高级的；崇高的；高音调的 2.n. 高水平；天空；由麻醉品引起的快感；高压地带 3.adv. 高；奢侈地 4.n. (High)人名；(英)海伊 
bestselling	1.adj. 畅销的 
Chengdu	1.n. 成都市（中国四川省省会） 
assist	1.n. 帮助；助攻 2.vi. 参加；出席 3.vt. 帮助；促进 
protectionist	1.n. 贸易保护主义者 2.adj. 贸易保护主义的；保护贸易论的 
Latvia	1.n. 拉脱维亚 
myself	1.pron. 我自己；我亲自；我的正常的健康状况和正常情绪 
Spending	1.n. 花费；开销 2.v. 花费；度过（spend的现在分词形式） 
Rand	1.n. 兰特（南非的货币单位）；边缘；垫皮，衬底（鞋后根与鞋底中间的） 2.n. (Rand)人名；(英、德、俄、瑞典)兰德 
Years	1.n. [天] 年；年龄；岁月；年代 
AAP	1.abbr. 阿波罗应用计划（Apollo Applications Program）；美国出版商协会（Association of American Publishers） 
concession	1.n. 让步；特许（权）；承认；退位 
ruin	1.n. 废墟；毁坏；灭亡 2.vt. 毁灭；使破产 3.vi. 破产；堕落；被毁灭 4.n. (Ruin)人名；(德、意、芬)鲁因；(法)吕安 
endangered	1.adj. 濒临灭绝的；有生命危险的 
Senegal	1.n. 塞内加尔（非洲国家） 
flavour	1.n. 香味；滋味 2.vt. 给……调味；给……增添风趣 
Common	1.n. 普通；平民；公有地 2.adj. 共同的；普通的；一般的；通常的 3.n. (Common)人名；(法)科蒙；(英)康芒 
Sogaz	
derived	1.v. 得到；推断（derive的过去分词）；由…而来 2.adj. 导出的；衍生的，派生的 
Culture	1.n. 文化，文明；修养；栽培 2.vt. [细胞][微] 培养（等于cultivate） 
inject	1.vt. 注入；注射 
contend	1.vi. 竞争；奋斗；斗争；争论 2.vt. 主张；为...斗争 
satisfied	1.v. 使满意（satisfy的过去式） 2.adj. 感到满意的 
Hebdo	
plight	1.n. 困境；境况；誓约 2.vt. 保证；约定 
environmentalist	1.n. 环保人士；环境论者；研究环境问题的专家 
eruptions	1.n. 火山爆发；出疹（eruption的复数形式） 
Kadyrov	1.n. (Kadyrov)人名；(俄)卡德罗夫 
Yangon	1.n. 仰光（缅甸首都，等于Rangoon） 
outweigh	1.vt. 比…重（在重量上）；比…重要；比…有价值 
preliminary	1.n. 准备；预赛；初步措施 2.adj. 初步的；开始的；预备的 
essay	1.n. 散文；试图；随笔 2.vt. 尝试；对…做试验 
emphasised	1.vt. （英）强调；加强…的语气（等于emphasize ） 
lag	1.n. 落后；迟延；防护套；囚犯；桶板 2.adj. 最后的 3.vi. 滞后；缓缓而行；蹒跚 4.vt. 落后于；押往监狱；加上外套 5.n. (Lag)人名；(俄)拉格 
needles	1.n. 针数，千针本；[印刷] 折页顶针（needle复数形式） 2.n. (Needles)人名；(英)尼德尔斯 
Saud	1.n. 沙特（人名） 
absurd	1.n. 荒诞；荒诞作品 2.adj. 荒谬的；可笑的 
Hathaway	1.n. 哈撒韦（衬衫品牌）；海瑟薇（人名） 
sterling	1.n. 英国货币；标准纯银 2.adj. 纯正的；英币的；纯银制的 3.n. (Sterling)人名；(德)施特林；(英、西、瑞典)斯特林 
BlackRock	1.n. 黑石集团（美国一家债券基金管理公司） 
stump	1.vt. 砍伐；使为难；在…作巡回政治演说 2.n. 树桩；残余部分；假肢 3.vi. 笨重地行走；发表竞选演说 4.n. (Stump)人名；(英)斯顿普；(德)施通普 
photography	1.n. 摄影；摄影术 
buck	1.n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人 2.n. (Buck)人名；(英、西)巴克；(法)比克；(德、瑞典、匈)布克 
referendums	1.n. 投票，公投（referendum复数） 
litigation	1.n. 诉讼；起诉 
splurge	1.n. 挥霍；炫耀 2.vt. 挥霍；夸耀 3.vi. 挥霍；卖弄 
Adobe	1.n. 土砖，砖坯 
Carta	
Tambora	
Friends	1.n. 朋友( friend的名词复数 ) 
Horizon	1.n. [天] 地平线；视野；眼界；范围 
Resources	1.n. [计][环境] 资源；物力（resource的复数） 2.v. 向…提供资金（resource的第三人称单数） 
slowest	1.adj. 最慢的（slow的最高级） 
projection	1.n. 投射；规划；突出；发射；推测 
topple	1.vt. 推翻；颠覆；使倒塌 2.vi. 倾倒；倒塌；摇摇欲坠 3.n. (Topple)人名；(英)托佩尔 
inputs	1.n. [自][电子] 输入；投入（input的复数） 
splitting	1.v. 裂开（split的现在分词） 2.adj. 极快的；爆裂似的，剧烈的；滑稽的 
cognitive	1.adj. 认知的，认识的 
tinkering	1.n. 铸补，熔补 2.v. 做焊锅匠，笨拙的修补（tinker的现在分词形式） 
psychology	1.n. 心理学；心理状态 
deepening	1.n. 加深，延深；向下侵蚀 2.v. 使深化；加深（deepen的现在分词） 
packaged	1.v. 包装；把…装袋（package的过去式和过去分词） 2.adj. 包装过的 
notwithstanding	1.conj. 虽然 2.prep. 尽管，虽然 3.adv. 尽管，仍然 
proceed	1.vi. 开始；继续进行；发生；行进 
Captain	1.n. 队长，首领；船长；上尉；海军上校 2.vt. 指挥；率领 
physically	1.adv. 身体上，身体上地 
Jennifer	1.n. 詹尼弗（女子名） 
consideration	1.n. 考虑；原因；关心；报酬 
bully	1.n. 欺凌弱小者；土霸 2.vt. 欺负；威吓 3.adj. 第一流的；特好的 4.vi. 欺侮人 5.adv. 很；十分 6.int. 好；妙 7.n. (Bully)人名；(法)布利 
violating	1.v. 违背，违反（violate的现在分词） 
protections	1.n. 保护（protection的复数）；保护动作 
culprit	1.n. 犯人，罪犯；被控犯罪的人 
thaw	1.n. 解冻；融雪 2.vt. 使融解；使变得不拘束 3.vi. 融解；变暖和 4.n. (Thaw)人名；(缅)陶 
Morris	1.n. （打扮成 Robin Hood 等传奇人物跳的）莫理斯舞 2.n. (Morris)人名；(丹、德、法、捷、葡、西、意、英)莫里斯 
Rafael	1.n. 拉斐尔（男子名，来源于圣经故事） 
absolutely	1.adv. 绝对地；完全地 
consisted	1.vi. 组成；在于；符合 
tribunal	1.n. 法庭；裁决；法官席 
dismantling	1.n. 解散；（枪支）分解 2.v. 拆除；废除（dismantle的ing形式） 
cough	1.n. 咳嗽，咳嗽声；咳嗽病 2.vt. 咳出 3.vi. 咳嗽 4.n. (Cough)人名；(英)考夫 
bonanza	1.n. 富矿带；带来好运之事；幸运 
painfully	1.adv. 痛苦地，费力地 
venues	1.n. 场地，场馆（venue复数形式）；犯罪现场，发生地点 
embassies	1.n. 大使馆；大使馆全体人员 
Julius	1.n. 朱利叶斯（男子名） 
shells	1.n. 贝壳（shell的复数） 2.v. 脱壳（shell的第三人称单数形式） 
terribly	1.adv. 非常；可怕地；极度地 
glasses	1.n. [轻] 眼镜；玻璃（glass的复数形式）；双筒望远镜 2.v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式） 
wisely	1.adv. 明智地；聪明地；精明地 2.n. (Wisely)人名；(英)怀斯利 
philosopher	1.n. 哲学家；哲人 
fishermen	1.n. 渔夫；渔船（fisherman的复数形式） 
metro	1.n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售） 
excellence	1.n. 优秀；美德；长处 
retreated	1.v. 撤退；隐退（retreat的过去式及过去分词） 
daylight	1.n. 白天；日光；黎明；公开 
rump	1.n. （人的）臀部，（动物的）尾部；残余，渣滓 2.n. (Rump)人名；(法、罗、德)伦普 
inserted	1.adj. 插入的；[生物] 嵌入的；著生的；附着的 
interpreted	1.v. 解释；解读（interpret的过去分词形式）；口译 
pointless	1.adj. 无意义的；钝的；不尖的；不得要领的 
imply	1.vt. 意味；暗示；隐含 
upheld	1.v. 支持（uphold的过去式） 
secretive	1.adj. 秘密的；偷偷摸摸的；促进分泌的 
Conservative-led	
discouraged	1.v. 劝阻（discourage的过去分词）；使失去勇气 2.adj. 气馁的 
Unilever	1.n. 联合利华（财富500强公司之一，总部位于荷兰和英国，主要经营食品） 
York-based	
Director	1.n. 主任，主管；导演；人事助理 2.n. (Director)人名；(英)迪雷克托 
uneasy	1.adj. 不舒服的；心神不安的；不稳定的 
Guardian	1.n. [法] 监护人，保护人；守护者 2.adj. 守护的 3.n. (Guardian)人名；(西)瓜尔迪安 
public-relations	
Brasília	
recruiters	1.n. 招聘人员，征兵人员 
situations	1.n. 状况；情境；局面（situation的复数形式） 
disguise	1.n. 伪装；假装；用作伪装的东西 2.vt. 掩饰；假装；隐瞒 
supervision	1.n. 监督，管理 
Light	1.n. 光；光线；灯；打火机；领悟；浅色；天窗 2.adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的 3.vt. 照亮；点燃；着火 4.vi. 点着；变亮；着火 5.adv. 轻地；清楚地；轻便地 6.n. (Light)人名；(英)莱特 
electrons	1.n. [物] 电子（electron的复数形式） 
manned	1.v. 给…配备人员（man的过去分词） 2.adj. 有人驾驶的；有人操纵的；配备齐船员的 
plutonium	1.n. [化学] 钚（94号元素） 
vivid	1.adj. 生动的；鲜明的；鲜艳的 
discoveries	1.n. 发现（discovery的复数） 
autobiography	1.n. 自传；自传文学 
defected	1.[晶体][材] 缺陷 
adventure	1.n. 冒险；冒险精神；投机活动 2.vt. 冒险；大胆说出 3.vi. 冒险 
Alps	1.n. 阿尔卑斯山脉 
motorists	1.汽车司机 2.乘汽车旅行者（ motorist的名词复数 ） 
Anderson	1.n. 安德森（男子名）；安德森市（美国印第安纳州） 
franc	1.n. 法郎 2.法郎体系 
thinkers	1.n. 思想者；善于思考的人（thinker的复数形式） 
discouraging	1.v. 沮丧（discourage的ing形式）；失去勇气 2.adj. 使人沮丧的；令人气馁的 
stubbornly	1.adv. 顽固地；倔强地 
manufactured	1.v. 制造，加工（manufacture的过去式） 2.adj. 制造的，已制成的 
Nomura	1.n. 野村（日本企业）；野村证券 
budgetary	1.adj. 预算的 
subsidise	1.vt. 资助（等于subsidize）；给...补助金 2.vi. 消退；下沉；平息 
cling	1.vi. 坚持，墨守；紧贴；附着 
seasoned	1.adj. 经验丰富的；老练的；调过味的 
amendments	1.n. 修正（amendment的复数）；修正案 
Chamber	1.n. （身体或器官内的）室，膛；房间；会所 2.adj. 室内的；私人的，秘密的 3.vt. 把…关在室内；装填（弹药等） 4.n. (Chamber)人名；(英)钱伯 
unaffordable	1.adj. 买不起的 
primaries	1.n. 基元；主翼羽，比较原色（primary复数） 
Kaiser	1.n. （德国）皇帝 
databases	1.n. [计] 数据库；资料库（database的复数） 2.v. 把信息存入数据库（database的第三人称单数） 
wooing	1.vt. 追求；招致；向…求爱；恳求 2.vi. 求爱；恳求 
Mississippi	1.n. 密西西比河（美国河流，世界上最大的河流之一）；密西西比州（美国州名） 
strip	1.n. 带；条状；脱衣舞 2.vt. 剥夺；剥去；脱去衣服 3.vi. 脱去衣服 
